Scopus-28061-Analyze-Year,
,
Your query : ((TITLE(autonomous vehicle) OR TITLE(automated vehicle) OR TITLE(autonomous driving) OR TITLE(automated driving) OR TITLE(advanced driver assistance system) OR TITLE(self-driving) OR TITLE(driverless) OR TITLE(vehicle automation))),
,
,
Number of results : ,
,
YEAR,Num_of_pub
2023,115375
2022,107969
2021,97310
2020,91084
2019,77332
2018,60993
2017,51466
2016,43703
2015,38539
2014,36470
2013,32893
2012,29433
2011,28068
2010,26817
2009,24217
2008,23414
2007,21857
2006,21129
2005,20197
2004,19645
2003,20865
2002,17236
2001,10143
2000,7865
1999,7202
1998,7057
1997,6720
1996,6719
1995,6047
1994,6069
1993,5515
1992,6047
1991,4875
1990,4774
1989,4612
1988,4601
1987,4276
1986,3736
1985,3662
1984,3328
1983,2769
1982,669
1981,810
1980,712
1979,546
1978,591
1977,572
1976,600
1975,555
1974,549
1973,576
1972,450
1971,451
1970,367
1969,323
1968,260
1967,284
1966,235
1965,194
1964,113
1963,90
1962,86
