Scopus-28061-Analyze-Year,
,
Your query : ((TITLE(autonomous vehicle) OR TITLE(automated vehicle) OR TITLE(autonomous driving) OR TITLE(automated driving) OR TITLE(advanced driver assistance system) OR TITLE(self-driving) OR TITLE(driverless) OR TITLE(vehicle automation))),
,
,
Number of results : 28061,
,
YEAR,Num_of_pub
2023,5531
2022,4754
2021,4143
2020,3744
2019,3527
2018,2518
2017,1677
2016,1227
2015,922
2014,723
2013,623
2012,609
2011,474
2010,495
2009,437
2008,403
2007,403
2006,322
2005,309
2004,299
2003,200
2002,187
2001,166
2000,148
1999,135
1998,153
1997,111
1996,132
1995,102
1994,96
1993,87
1992,98
1991,65
1990,61
1989,46
1988,42
1987,60
1986,30
1985,33
1984,24
1983,23
1982,13
1981,19
1980,13
1979,13
1978,12
1977,11
1976,8
1975,6
1974,9
1973,10
1972,8
1971,7
1970,3
1969,4
1968,9
1967,2
1966,1
1965,2
1964,1
1963,1
1962,1
